id_text,text_name,l_no,text
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],001,Šumu-Haddi[1]PN
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],002,Yapaʾ-Haddi[1]PN
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],003,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],004,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],005,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],006,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],007,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],008,Miṣru[Egypt]GN
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],009,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],010,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],011,Abdi-Aširte[1]PN
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],012,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],015,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],016,
aemw/amarna/P271055,EA 097. A bad reputation [vassal letter],020,
